timestamp,device_id,latitude,longitude,reachable,telemetry_age_sec,signal_strength_dbm,neighbor_fail_count,engine_temp_c,failure_reason
2026-08-30 03:23:16.492009,EQ-0075,27.64901424590337,34.958520709648646,False,3392,-124,12,88,NETWORK_OUTAGE
2026-08-30 17:36:16.492009,EQ-0450,27.97376384465222,35.230230418745876,True,1,-59,0,75,NORMAL
2026-08-30 16:07:16.492009,EQ-0347,27.36097469215626,34.860281073928924,True,21,-59,0,94,NORMAL
2026-08-30 08:04:16.492009,EQ-0070,27.196150663899672,35.09427419977858,True,15,-56,0,84,NORMAL
2026-08-30 13:15:16.492009,EQ-0488,27.520258461406378,34.572575544135965,True,2,-66,0,88,NORMAL
2026-08-30 15:33:16.492009,EQ-0296,27.319923844968226,35.284231946313994,True,19,-56,0,76,NORMAL
2026-08-30 06:56:16.492009,EQ-0475,27.389548717596938,35.112669390152206,True,17,-63,0,73,NORMAL
2026-08-30 21:20:16.492009,EQ-0115,27.086618208853256,34.89406500439788,True,28,-53,0,81,NORMAL
2026-08-30 19:06:16.492009,EQ-0082,27.709519682399517,34.948511349432074,False,755,-117,9,94,NETWORK_OUTAGE
2026-08-30 04:21:16.492009,EQ-0200,27.641957974838007,35.19775717952869,True,23,-58,0,78,NORMAL
2026-08-30 20:11:16.492009,EQ-0151,27.67463683841391,35.266324537878006,False,2636,-120,7,79,NETWORK_OUTAGE
2026-08-30 06:10:16.492009,EQ-0127,27.69868535408572,35.07233664877614,False,5475,-59,0,105,DEVICE_FAILURE
2026-08-30 08:01:16.492009,EQ-0089,27.940682385629717,34.66283049963799,False,3031,-123,8,72,NETWORK_OUTAGE
2026-08-30 10:47:16.492009,EQ-0359,27.598053567191005,34.9756643137524,False,1628,-47,0,111,DEVICE_FAILURE
2026-08-30 02:57:16.492009,EQ-0078,26.714076468773076,35.24657075131257,True,12,-52,0,76,NORMAL
2026-08-30 04:07:16.493010,EQ-0041,27.527528232960652,34.40372932561973,True,22,-64,0,82,SENSOR_FAILURE
2026-08-30 07:09:16.493010,EQ-0169,27.986876149802413,35.24711992309254,False,3329,-48,0,129,DEVICE_FAILURE
2026-08-30 01:10:16.493010,EQ-0121,27.577135061016882,35.09435386875895,True,29,-60,0,92,NORMAL
2026-08-30 02:39:16.493010,EQ-0040,27.717224975457764,34.92327060891232,True,26,-51,0,82,NORMAL
2026-08-30 03:04:16.493010,EQ-0129,27.501534036992737,34.92962385998746,True,4,-70,0,88,NORMAL
2026-08-30 05:05:16.493010,EQ-0032,27.635880897960053,34.95018172749468,True,23,-62,0,89,NORMAL
2026-08-30 05:05:16.493010,EQ-0441,27.495354997996465,34.991787066324456,True,6,-69,0,72,NORMAL
2026-08-30 06:05:16.493010,EQ-0418,27.367470193032197,34.97475047444565,True,0,-52,0,71,NORMAL
2026-08-30 21:59:16.493010,EQ-0100,27.60194628925599,34.99778595501663,True,3,-60,0,93,NORMAL
2026-08-30 11:30:16.493010,EQ-0290,27.718349934249762,34.81427919189351,True,1,-65,0,91,NORMAL
2026-08-30 11:18:16.493010,EQ-0066,27.367159296528307,35.11346798442226,True,15,-68,0,89,NORMAL
2026-08-30 14:51:16.493010,EQ-0127,27.03480097068016,35.02056889244181,False,2143,-122,3,77,NETWORK_OUTAGE
2026-08-30 19:39:16.493010,EQ-0449,27.26502401229913,34.903381545138295,True,29,-61,0,72,SENSOR_FAILURE
2026-08-30 09:05:16.493010,EQ-0254,27.813158183275597,35.15793444840041,True,27,-54,0,71,NORMAL
2026-08-30 20:34:16.493010,EQ-0367,27.57796483827453,35.23454686153319,True,2,-52,0,85,NORMAL
2026-08-30 22:18:16.493010,EQ-0336,27.685292253653344,35.36512123909403,True,7,-67,0,75,NORMAL
2026-08-30 10:20:16.493010,EQ-0037,27.587921741989604,34.78569457459209,True,13,-53,0,71,NORMAL
2026-08-30 02:21:16.493010,EQ-0391,27.545197713044985,34.99528551804426,True,3,-70,0,83,NORMAL
2026-08-30 16:22:16.493010,EQ-0420,27.361241941939475,34.66625079370117,False,1518,-130,3,85,NETWORK_OUTAGE
2026-08-30 00:53:16.493010,EQ-0423,28.182003547405245,35.04409239513716,True,29,-65,0,75,NORMAL
2026-08-30 08:02:16.493010,EQ-0360,27.7731536655484,34.991082392693784,True,20,-70,0,84,NORMAL
2026-08-30 23:45:16.493010,EQ-0326,27.388064243104893,35.15107911924345,True,3,-68,0,86,NORMAL
2026-08-30 06:21:16.493010,EQ-0352,27.4965250040654,35.05717961153436,True,5,-68,0,78,NORMAL
2026-08-30 20:51:16.493010,EQ-0170,27.462760283335502,35.22210224538432,True,34,-70,0,89,SENSOR_FAILURE
2026-08-30 14:36:16.493010,EQ-0141,27.215144286446343,34.82093080053117,True,2,-53,0,94,NORMAL
2026-08-30 00:32:16.493010,EQ-0471,27.689022481580302,35.52888124169097,True,14,-69,0,79,NORMAL
2026-08-30 11:23:16.493010,EQ-0187,27.764851298152816,34.865208684171265,True,21,-55,0,76,NORMAL
2026-08-30 23:26:16.493010,EQ-0303,27.034569816772805,34.84685203412672,False,3175,-121,9,94,NETWORK_OUTAGE
2026-08-30 16:11:16.493010,EQ-0115,27.67126715320795,35.34066969205418,False,699,-117,14,88,NETWORK_OUTAGE
2026-08-30 14:27:16.493010,EQ-0129,27.520505375331147,34.87717735082853,True,21,-52,0,94,NORMAL
2026-08-30 07:29:16.493010,EQ-0168,27.37617151604297,35.1786930955413,True,14,-60,0,74,NORMAL
2026-08-30 09:25:16.493010,EQ-0148,27.33761436750801,35.23304690132768,True,38,-67,0,75,SENSOR_FAILURE
2026-08-30 13:05:16.493010,EQ-0276,27.387643532272858,34.61263516605914,False,3283,-127,4,79,NETWORK_OUTAGE
2026-08-30 10:51:16.493010,EQ-0414,27.10762571009919,34.40282013512679,False,1669,-126,12,90,NETWORK_OUTAGE
2026-08-30 10:40:16.493010,EQ-0500,28.03438732310791,34.79677529968557,True,25,-70,0,84,NORMAL
2026-08-30 03:49:16.493010,EQ-0013,27.404193476655568,34.93861504835672,True,12,-70,0,85,NORMAL
2026-08-30 07:25:16.493010,EQ-0071,27.613188879638123,35.49540529594385,False,2594,-128,14,85,NETWORK_OUTAGE
